Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
None,0,None,없음,Aucun,Keiner,Ninguna,Nessuna,Ingen,なし,沒有,没有,Żaden,
Cancel,1,Cancel,취소,Annuler,Stornieren,Anular,Annulla,Afbestille,いいえ,取消,取消,Anuluj,
Close,2,Close,닫기,Fermer,Schließen,Cerca,Vicino,Tæt,閉じる,關閉,关闭,Zamknąć,
Okay,3,Okay,확인,Oui,Okay,Correcto,Va bene,okay,はい,確認,确认,Tak,
Remove,4,Remove,삭제,Retirer,Löschen,Retirar,Rimuovere,Fjerne,削除,去掉,去掉,Usunąć,
Detach_Title,5,Detach,등록된 객체 제거,Détacher,Ablösen,Despegar,Distaccare,Løsrive,デタッチ,分離,分离,Odłączyć,
Detach_Body,6,Do you want to detach it?,선택한 객체를 제거할까요?,Voulez-vous le détacher?,Willst du es lösen?,¿Quieres separarlo?,Vuoi staccarlo?,Vil du løsne det?,それを外したいですか？,你想分離它嗎？,你想分离它吗？,Czy chcesz to odłączyć?,
Detach_Ok,7,Detach,제거,Détacher,Ablösen,Despegar,Distaccare,Løsrive,デタッチ,分離,分离,Odłączyć,
ThumbCreateFailed_Title,8,Thumbnail creation failed,썸네일 생성 실패,La création de vignettes a échoué,Thumbnail-Erstellung fehlgeschlagen,Creación de miniaturas fallidas,Creazione di miniature fallita,Thumbnail oprettelse mislykkedes,サムネイルの作成に失敗しました,縮略圖創建失敗,缩略图创建失败,Tworzenie miniatur nie powiodło się,
ThumbCreateFailed_Body_NoFile,9,The file name is empty.,파일 이름이 비어있습니다.,Le nom du fichier est vide.,Der Dateiname ist leer.,El nombre del archivo está vacío.,Il nome del file è vuoto.,Filnavnet er tomt.,ファイル名は空です。,文件名是空的。,文件名是空的。,Nazwa pliku jest pusta.,
GIFFailed_Title,10,GIF file creation failed.,GIF 파일 생성 실패,La création du fichier GIF a échoué.,Die Erstellung der GIF-Datei ist fehlgeschlagen.,La creación del archivo GIF falló.,Creazione di file GIF fallita.,GIF-fil oprettelse mislykkedes.,GIFファイルの作成に失敗しました。,GIF文件創建失敗。,GIF文件创建失败。,Tworzenie pliku GIF nie powiodło się.,
GIFFailed_Body_Reject,11,Request is rejected.,요청이 거부되었습니다.,La demande est rejetée.,Anfrage wird abgelehnt.,La solicitud es rechazada,La richiesta è respinta.,Forespørgsel afvises.,リクエストは拒否されます。,請求被拒絕。,请求被拒绝。,Żądanie zostało odrzucone.,
PSDBakeError_Title_WrongDst,12,Bake Destination Path Error,베이킹 위치 에러,Erreur de chemin d'exportation de destination,Bake-Pfadfehler,Error de ruta de exportación de destino,Errore nel percorso di esportazione della destinazione,Bage destination path error,ベイク宛先パスエラー,烘烤目的地路徑錯誤,烘烤目的地路径错误,Błąd Ścieżka przeznaczenia do pieczenia,
PSDBakeError_Body_WrongDst,13,The Baking destination path must be in the Assets folder.,베이킹 파일 저장 위치는 Assets 폴더에 포함되어야 합니다.,Le chemin de destination d'exportation doit être dans le dossier Assets.,Der Back-Zielpfad muss sich im Ordner Assets befinden.,La ruta de destino de exportación debe estar en la carpeta de Activos.,Il percorso di cottura deve essere nella cartella Assets.,Bage destinationen stien skal være i mappen Assets.,ベイキング先のパスは[c][Assets]フォルダになければなりません。,烘焙目標路徑必須位於“資產”文件夾中。,烘焙目标路径必须位于“资产”文件夹中。,Ścieżka docelowa pieczenia musi znajdować się w folderze Assets.,
PSDBakeError_Title_Load,14,PSD File load failed,PSD파일 로드 실패,La charge du fichier PSD a échoué,Laden der PSD-Datei fehlgeschlagen,Carga de archivo PSD fallida,Caricamento file PSD non riuscito,PSD-filbelastning mislykkedes,PSDファイルの読み込みに失敗しました,PSD文件加載失敗,PSD文件加载失败,Ładowanie pliku PSD nie powiodło się,
PSDBakeError_Body_LoadPath,15,There are no files in [ {0} ].,해당 경로 [ {0} ]에 PSD 파일이 없습니다.,Il n'y a aucun fichier dans [ {0} ].,In [ {0} ] sind keine Dateien vorhanden.,No hay archivos en [ {0} ].,Non ci sono file in [ {0} ].,Der er ingen filer i [ {0} ].,[ {0} ]にファイルがありません。,[ {0} ]中沒有文件。,[ {0} ]中没有文件。,W [ {0} ] nie ma plików.,
PSDBakeError_Body_LoadSize,16,The image size is too large. [ {0} x {1} ] (Maximum 5000 x 5000),이미지 크기가 너무 큽니다. [ {0} x {1} ] (Maximum 5000 x 5000),La taille de l'image est trop grande. [ {0} x {1} ] (Maximum 5000 x 5000),Die Bildgröße ist zu groß. [ {0} x {1} ] (maximal 5000 x 5000),El tamaño de la imagen es demasiado grande. [{0} x {1}] (Máximo 5000 x 5000),La dimensione dell'immagine è troppo grande. [ {0} x {1} ] (Massimo 5000 x 5000),Billedstørrelsen er for stor. [ {0} x {1} ] (maks. 5000 x 5000),画像サイズが大きすぎます。 [ {0} x {1} ](最大5000 x 5000),圖像尺寸太大。 [ {0} x {1} ](最大5000 x 5000),图像尺寸太大。 [ {0} x {1} ](最大5000 x 5000),Rozmiar obrazu jest zbyt duży. [ {0} x {1} ] (maksymalnie 5000 x 5000),
PSDBakeError_Body_ErrorCode,17,An error has occurred. [ {0} ],에러가 발생했습니다. [ {0} ],Une erreur est survenue. [ {0} ],Ein Fehler ist aufgetreten. [ {0} ],Se ha producido un error. [ {0} ],C'è stato un errore. [ {0} ],Der opstod en fejl. [ {0} ],エラーが発生しました。 [ {0} ],發生了錯誤。 [ {0} ],发生了错误。 [ {0} ],Wystąpił błąd. [ {0} ],
AddTextureFailed_Title,18,Failed to add image,이미지 추가 실패,Impossible d'ajouter une image,Fehler beim Hinzufügen des Bildes,Error al agregar imagen,Impossibile aggiungere l'immagine,Kunne ikke tilføje billede,画像の追加に失敗しました,無法添加圖片,无法添加图片,Nie udało się dodać obrazu,
AddTextureFailed_Body,19,An error has occurred and the image can not be added. Please try again.,에러가 발생하여 이미지를 추가할 수 없습니다. 다시 시도해주세요.,Une erreur est survenue et l'image ne peut pas être ajoutée. Veuillez réessayer.,Ein Fehler ist aufgetreten und das Bild kann nicht hinzugefügt werden. Bitte versuche es erneut.,Se ha producido un error y no se puede agregar la imagen. Inténtalo de nuevo.,Si è verificato un errore e non è possibile aggiungere l'immagine. Per favore riprova.,Der opstod en fejl[c] og billedet kan ikke tilføjes. Prøv igen.,エラーが発生し[c]画像を追加できません。もう一度お試しください。,發生錯誤[c]圖像無法添加。請再試一次。,发生错误[c]图像无法添加。请再试一次。,Wystąpił błąd i nie można dodać obrazu. Proszę spróbuj ponownie.,
